Thu Feb  4 04:42:13 2021
rule_repository_top_k.size(): 30
(diameter,viscera,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 94 | whole_conf: 0.964040 | Asupp: 3
(length,whucked,sex=I,)=>rings | whole_supp: 2684 | whole_vio: 98 | whole_conf: 0.963487 | Asupp: 6
(height,viscera,rings=10,)=>diameter | whole_supp: 1268 | whole_vio: 50 | whole_conf: 0.960568 | Asupp: 2
(length,whucked,sex=I,)=>height | whole_supp: 2684 | whole_vio: 106 | whole_conf: 0.960507 | Asupp: 6
(length,height,shell,)=>viscera | whole_supp: 8354 | whole_vio: 348 | whole_conf: 0.958343 | Asupp: 10
(diameter,viscera,sex=F,)=>shell | whole_supp: 2614 | whole_vio: 114 | whole_conf: 0.956389 | Asupp: 3
(diameter,whucked,sex=I,)=>rings | whole_supp: 2684 | whole_vio: 118 | whole_conf: 0.956036 | Asupp: 6
(length,whucked,sex=I,)=>shell | whole_supp: 2684 | whole_vio: 122 | whole_conf: 0.954545 | Asupp: 6
(diameter,viscera,sex=M,)=>rings | whole_supp: 3056 | whole_vio: 146 | whole_conf: 0.952225 | Asupp: 2
(diameter,viscera,sex=M,)=>height | whole_supp: 3056 | whole_vio: 150 | whole_conf: 0.950916 | Asupp: 2
(sex,length,viscera,)=>height | whole_supp: 8354 | whole_vio: 444 | whole_conf: 0.946852 | Asupp: 10
(diameter,whucked,sex=I,)=>height | whole_supp: 2684 | whole_vio: 144 | whole_conf: 0.946349 | Asupp: 8
(diameter,whucked,sex=I,)=>shell | whole_supp: 2684 | whole_vio: 148 | whole_conf: 0.944858 | Asupp: 6
(diameter,viscera,sex=M,)=>shell | whole_supp: 3056 | whole_vio: 172 | whole_conf: 0.943717 | Asupp: 2
(whucked,rings,sex=F,)=>length | whole_supp: 2614 | whole_vio: 156 | whole_conf: 0.940321 | Asupp: 4
(sex,length,viscera,)=>whole | whole_supp: 8354 | whole_vio: 514 | whole_conf: 0.938473 | Asupp: 10
(sex,length,viscera,)=>whucked | whole_supp: 8354 | whole_vio: 518 | whole_conf: 0.937994 | Asupp: 10
(height,viscera,sex=F,)=>diameter | whole_supp: 2614 | whole_vio: 188 | whole_conf: 0.928080 | Asupp: 3
(whole,rings,sex=I,)=>length | whole_supp: 2684 | whole_vio: 196 | whole_conf: 0.926975 | Asupp: 6
(length,viscera,sex=I,)=>height | whole_supp: 2684 | whole_vio: 210 | whole_conf: 0.921759 | Asupp: 6
(diameter,shell,rings,)=>whucked | whole_supp: 8354 | whole_vio: 712 | whole_conf: 0.914771 | Asupp: 10
(diameter,shell,rings,)=>viscera | whole_supp: 8354 | whole_vio: 722 | whole_conf: 0.913574 | Asupp: 10
(length,shell,sex=M,)=>rings | whole_supp: 3056 | whole_vio: 272 | whole_conf: 0.910995 | Asupp: 2
(length,viscera,sex=I,)=>shell | whole_supp: 2684 | whole_vio: 256 | whole_conf: 0.904620 | Asupp: 6
(length,shell,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 260 | whole_conf: 0.900536 | Asupp: 3
(diameter,whole,rings=10,)=>length | whole_supp: 1268 | whole_vio: 10 | whole_conf: 0.992114 | Asupp: 2
(length,diameter,whucked,)=>rings | whole_supp: 8354 | whole_vio: 74 | whole_conf: 0.991142 | Asupp: 11
(length,diameter,whucked,)=>height | whole_supp: 8354 | whole_vio: 76 | whole_conf: 0.990903 | Asupp: 11
(diameter,whole,sex=F,)=>length | whole_supp: 2614 | whole_vio: 30 | whole_conf: 0.988523 | Asupp: 3
(length,viscera,rings=10,)=>diameter | whole_supp: 1268 | whole_vio: 18 | whole_conf: 0.985804 | Asupp: 4
(diameter,whucked,sex=F,)=>length | whole_supp: 2614 | whole_vio: 72 | whole_conf: 0.972456 | Asupp: 3
(diameter,viscera,rings=10,)=>length | whole_supp: 1268 | whole_vio: 38 | whole_conf: 0.970032 | Asupp: 2
(length,diameter,shell,)=>rings | whole_supp: 8354 | whole_vio: 338 | whole_conf: 0.959540 | Asupp: 10
(length,diameter,shell,)=>height | whole_supp: 8354 | whole_vio: 402 | whole_conf: 0.951879 | Asupp: 10
(sex,length,viscera,)=>diameter | whole_supp: 8354 | whole_vio: 434 | whole_conf: 0.948049 | Asupp: 10
(diameter,whucked,sex=I,)=>length | whole_supp: 2684 | whole_vio: 148 | whole_conf: 0.944858 | Asupp: 6
(whole,whucked,viscera,sex=M,)=>shell | whole_supp: 3056 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 2
(sex,height,whucked,shell,)=>viscera | whole_supp: 8354 | whole_vio: 10 | whole_conf: 0.998803 | Asupp: 10
(sex,height,viscera,shell,)=>whucked | whole_supp: 8354 | whole_vio: 20 | whole_conf: 0.997606 | Asupp: 10
(sex,height,whucked,rings=10,)=>whole | whole_supp: 1268 | whole_vio: 10 | whole_conf: 0.992114 | Asupp: 2
(sex,whucked,shell,rings,)=>diameter | whole_supp: 8354 | whole_vio: 14 | whole_conf: 0.998324 | Asupp: 10
(sex,diameter,height,whucked,)=>viscera | whole_supp: 8354 | whole_vio: 36 | whole_conf: 0.995691 | Asupp: 11
(sex,length,height,whucked,)=>whole | whole_supp: 8354 | whole_vio: 38 | whole_conf: 0.995451 | Asupp: 10
(sex,diameter,height,viscera,)=>whucked | whole_supp: 8354 | whole_vio: 80 | whole_conf: 0.990424 | Asupp: 11
(diameter,height,shell,sex=I,)=>rings | whole_supp: 2684 | whole_vio: 80 | whole_conf: 0.970194 | Asupp: 6
(diameter,height,shell,sex=I,)=>viscera | whole_supp: 2684 | whole_vio: 122 | whole_conf: 0.954545 | Asupp: 6
